"type","city","street","cost","area"
"7er WG","Hamburg Rotherbaum","Rentzelstraße 12","750","21"
"4er WG","Hamburg Sasel","Rammhörn","360","11"
"3er WG","Hamburg Hamburg-Altstadt","Rödingsmarkt 11","600","16"
"2er WG","Hamburg Dulsberg","Graudenzer Weg 6","440","13"
"3er WG","Hamburg Horn","Hermannstal 37","500","19"
"4er WG","Hamburg Bergedorf","Lohbrügger Str. 22","225","20"
"2er WG","Hamburg Eilbek","Hasselbrookstraße 42","250","20"
"3er WG","Hamburg Winterhude","Flüggestr. 14","697","18"
"3er WG","Hamburg Jenfeld","Bekkamp 19","450","14"
"2er WG","Hamburg St. Georg","Pulverteich 37","550","16"
"3er WG","Hamburg St. Georg","Hansaplatz","710","24"
"3er WG","Hamburg Billstedt","Möllner Landstraße 99","620","30"
"3er WG","Hamburg Eimsbüttel","Bismarckstraße 10","630","20"
"1-Zimmer-Wohnung","Hamburg Barmbek-Nord","Münstermansweg","850","42"
"2er WG","Hamburg Bahrenfeld","Bockrisweg 10","390","11"
"1-Zimmer-Wohnung","Hamburg Wandsbek","Schloßstraße 107","715","27"
"3er WG","Hamburg Hamm-Nord","Horner Weg","500","18"
"2er WG","Hamburg Dehnhaide","Beimoorstraße","610","15"
"2er WG","Hamburg Eimsbüttel","Methfesselstr. 34","370","14"
"2er WG","Hamburg Altona-Nord","Stresemannstraße","550","15"
"4er WG","Hamburg Barmbek süd","Weichsemünder Str. 1","400","14"
"2er WG","Hamburg Hoheluft-West","Eppendorfer Weg","655","19"
"2er WG","Hamburg Stellingen","Basselweg 26","260","15"
"2er WG","Hamburg Lokstedt","Grandweg 140","400","19"
"2er WG","Hamburg Dulsberg","Stormarner Straße 39","410","13"
"2er WG","Hamburg Ottensen","Nernstweg","450","20"
"2er WG","Hamburg Winterhude","Henry-Budge-Straße","650","15"
"3er WG","Hamburg Hoheluft-West","Grandweg","480","12"
"4er WG","Hamburg Bergedorf","Oberer Landweg 8","460","14"
"5er WG","Hamburg Harburg","Bremer Str.103a","300","15"
"3er WG","Hamburg Barmbek-Süd","Pfenningsbusch 1","525","16"
"3er WG","Hamburg Barmbek-Süd","Pfenningsbusch 1","465","15"
"3er WG","Hamburg Moorburg","Moorburger Elbdeich 146","380","13"
"2er WG","Hamburg Eppendorf","Kegelhofstraße","440","14"
"2er WG","Hamburg Farmsen Berne Rahlstedt","Treptower Straße 104","470","15"
"5er WG","Hamburg Hammerbrook","Süderstraße 159a","520","24"
"3er WG","Hamburg Bahrenfeld","Akeleiweg","500","12"
"3er WG","Hamburg Bahrenfeld","Akeleiweg","500","12"
"3er WG","Hamburg Stellingen","Volksparkstr. 77","650","17"
"3er WG","Hamburg Stellingen","Kieler Straße 351 A","500","16"
"3er WG","Hamburg Stellingen","Kieler Straße 351 A","500","16"
"1-Zimmer-Wohnung","Hamburg Wilhelmsburg","Dratelnstraße","579","19"
"1-Zimmer-Wohnung","Hamburg Wilhelmsburg","Dratelnstraße","579","19"
"1-Zimmer-Wohnung","Hamburg Billstedt","Schleemer Weg 1","1250","35"
"2er WG","Hamburg Barmbek-Nord","Dennerstraße 9a","300","12"
"2er WG","Hamburg Hoheluft-West","Mansteinstraße 23","540","20"
"2er WG","Hamburg Bergedorf","Lohbrügger Weg","390","18"
"2er WG","Hamburg Altona-Altstadt","Schomburgstr. 92","500","15"
"1-Zimmer-Wohnung","Hamburg Billstedt","Schleemer Weg 1","1200","30"
"3er WG","Hamburg Barmbek-Nord","Hellbrookstr 14","400","13"
"3er WG","Hamburg Altona-Altstadt","Wohlers Allee","530","14"
"2er WG","Hamburg Barmbek-Nord","Habichtstraße 94","455","18"
"2er WG","Hamburg Niendorf","Kollaustraße 90B","463","16"
"2er WG","Hamburg Eilbek","Wandsbeker Chausee","300","10"
"2er WG","Hamburg Wandsbek","Hogrevestraße","500","17"
"3er WG","Hamburg Harvestehude","Hohe Weide 62","450","13"
"2er WG","Hamburg Wandsbek","Hammer Straße 8","371","15"
"1-Zimmer-Wohnung","Hamburg Wandsbek","Hammer Straße 8","371","22"
"1-Zimmer-Wohnung","Hamburg Harburg","Helmsweg 30","371","20"
"2er WG","Hamburg Harburg","Helmsweg 30","371","15"
"3er WG","Hamburg St. Georg","Lange Reihe","435","13"
"3er WG","Hamburg Harburg","Ernst Eger straze","250","14"
"2er WG","Hamburg Veddel","Harburger Chaussee 73A","400","14"
"2er WG","Hamburg Niendorf","U 2 Schippelsweg","520","18"
"2er WG","Hamburg Stellingen","Wördemanns Weg","440","13"
"3er WG","Hamburg Ottensen","Erdmannstraße 2","400","10"
"2er WG","Hamburg Harburg","Bennigsenstraße 14","550","11"
"1-Zimmer-Wohnung","Hamburg Alsterdorf","Brabandstrasse 55-61","530","26"
"1-Zimmer-Wohnung","Hamburg St. Pauli","Bernhard-Nocht-Str. 51","350","11"
"2er WG","Hamburg Altona/Ottensen","fischersallee 79","550","14"
"2er WG","Hamburg Farmsen-Berne","Berner Stieg","515","20"
"2er WG","Hamburg Karoviertel","Glashüttenstr","650","29"
"1-Zimmer-Wohnung","Hamburg Eimsbüttel","Margaretenstaße","735","33"
"2er WG","Hamburg Altona-Nord","Harkortstraße 142","450","15"
"2er WG","Hamburg Altona-Nord","Stresemannstrasse 131","400","15"
"2er WG","Hamburg Barmbek-Nord","Hardorffsweg 3a","450","14"
"2er WG","Hamburg Hamburg","Amselstraße, 13","460","14"
"5er WG","Hamburg Sternschanze","Karolinenstraße","660","19"
"7er WG","Hamburg Winterhude","Sierichstraße 18","710","25"
"4er WG","Hamburg Eimsbüttel","Weckmannweg","600","12"
"2er WG","Hamburg Winterhude","Braamkamp 15c","588","15"
"3er WG","Hamburg Altona-Nord","Stresemannstraße","350","11"
"3er WG","Hamburg Niendorf","Rugierweg, 29g","480","15"
"2er WG","Hamburg Klein Borstel","Sodenkamp 2g","480","18"
"2er WG","Hamburg Hamm-Mitte","Braußpark","240","15"
"4er WG","Hamburg Harburg","Mergellstraße","300","16"
"2er WG","Hamburg Heimfeld","Compeweg 7","420","11"
"2er WG","Hamburg Eimsbüttel","Hartwig-Hesse-Str.45","370","15"
"2er WG","Hamburg Hamm-Mitte","Beltgens Garten","580","15"
"3er WG","Hamburg Hoheluft-Ost","heider strasse","510","17"
"2er WG","Hamburg St. Pauli","Kastanienallee 7","530","18"
"7er WG","Hamburg Rotherbaum","Bundesstraße 16","500","15"
"4er WG","Hamburg Hamm-Mitte","Borstelmannsweg 00","555","13"
"3er WG","Hamburg Heimfeld","Grumbrechtstr, 57","290","14"
"2er WG","Hamburg St Pauli","Wohlwillstr","550","20"
"3er WG","Hamburg Lurup","Lüttkamp 67a","570","16"
"2er WG","Hamburg Niendorf","Sachsenweg 48","630","25"
"4er WG","Hamburg Ottensen","Am Born","550","14"
"2er WG","Hamburg Borgfelde","Klaus-Groth-Straße","779","21"
"2er WG","Hamburg Othmarschen","Liebermannstr.","590","28"
"1-Zimmer-Wohnung","Hamburg Ottensen","Behringstraße 150","610","22"
"4er WG","Hamburg St. Georg","Rosenallee 5","650","20"
"2er WG","Hamburg Eimsbüttel","Högenstraße 47","500","19"
"2er WG","Hamburg Sternschanze","Lippmannstrasse","625","16"
"4er WG","Hamburg Niendorf","Lutt Kollau 1","570","20"
"4er WG","Hamburg St. Pauli","Feldstraße","580","15"
"2er WG","Hamburg Thesdorf","Bei der Schmiede 3","480","20"
"2er WG","Hamburg Marienthal","Rebeccaweg","589","20"
"2er WG","Hamburg Harburg","Hannoversche Straße 88","500","16"
"1-Zimmer-Wohnung","Hamburg St. Pauli","Bernhard-Nocht-Straße 51","460","12"
"4er WG","Hamburg Bergedorf","Oberer Landweg 8","458","14"
"5er WG","Hamburg Eidelstedt","Kieler Str 617","580","21"
"3er WG","Hamburg Eißendorf","Gellersenweg 14","300","13"
"2er WG","Hamburg Eimsbüttel","Voigtstr. 11","550","16"
"5er WG","Hamburg Altona-Altstadt","Bei der Friedenseiche 6","650","23"
"4er WG","Hamburg Lurup","Luruper Hauptstraße","450","11"
"5er WG","Hamburg St. Pauli","14","290","10"
"3er WG","Hamburg Othmarschen","Hochrad","556","16"
"2er WG","Hamburg Sternschanze","Margaretenstr 76","550","18"
"1-Zimmer-Wohnung","Hamburg Winterhude","Maria-Louisen-Straße 104","700","28"
"3er WG","Hamburg Altona-Altstadt","Stresemannstraße 128","600","18"
"2er WG","Hamburg Barmbek-Nord","Halbenkamp","300","14"
"3er WG","Hamburg Othmarschen","Groß-Flottbeker-Str. 21","555","17"
"2er WG","Hamburg Barmbek-Süd","Volksdorfer Straße","450","13"
"2er WG","Hamburg Eppendorf","Im Winkel 2","760","30"
"2er WG","Hamburg Winterhude","Poßmoorweg","370","16"
"4er WG","Hamburg Hamburg","Am Weidengrund 9a","550","16"
"4er WG","Hamburg Eilbek","Wandsbeker Chaussee 4","600","14"
"2er WG","Hamburg Altona-Altstadt","Virchowstraße 65","510","14"
"3er WG","Hamburg Lokstedt","Lokstedter Steindamm 96","345","12"
"2er WG","Hamburg Hamburg Altona","Alte Königstraße","450","25"
"2er WG","Hamburg Bahrenfeld","Haydnstraße 20","450","12"
"5er WG","Hamburg Borgfelde","Carl-Petersen-Strasse","360","14"
"4er WG","Hamburg Bahrenfeld","Bahrenfelder Chaussee 2","451","15"
"6er WG","Hamburg Harburg","Gerade Straße 3","404","9"
"1-Zimmer-Wohnung","Hamburg Hamburg","Schultzweg, 2","795","19"
"1-Zimmer-Wohnung","Hamburg Harvestehude","Eppendorfer Baum 5","790","49"
"1-Zimmer-Wohnung","Hamburg Rahlstedt","Frag-nach-Str. 1","600","34"
"4er WG","Hamburg Eimsbüttel","Langenfelder Damm 75","714","16"
"2er WG","Hamburg Hamburg","Kurzer Kamp 26","600","14"
"2er WG","Hamburg Altona-Ottensen","Erdmannstr. 1c","420","18"
"4er WG","Hamburg Billstedt","Steinfeldstraße","395","14"
"4er WG","Hamburg Fuhlsbüttel","kurzer Kamp","485","13"
"6er WG","Hamburg Billwerder","Billwerder Billdeich","430","13"
"2er WG","Hamburg Halstenbek","Dockenhudener Chaussee","400","13"
"2er WG","Hamburg Barmbek-Nord","Bramfelder Straße","480","14"
"3er WG","Hamburg Bramfeld","Lenzingweg, 9","300","10"
"3er WG","Hamburg Eidelstedt","Wiebischenkamp","400","18"
"2er WG","Hamburg Altona-Nord","Stresemannstr.","478","13"
"6er WG","Hamburg Poppenbüttel","Poppenbüttler Hauptstr. 25","380","14"
"2er WG","Hamburg Altona-Nord","Haubachstraße 36","400","13"
"1-Zimmer-Wohnung","Hamburg Hoheluft-West","Wrangelstrasse","1290","40"
"4er WG","Hamburg Seevetal","Am Försterland 66","270","12"
"4er WG","Hamburg Eimsbüttel - Hamburg Eide...","Elbgaustraße 97","550","17"
"3er WG","Hamburg Winterhude","Barmbekerstraße 161","420","15"
"2er WG","Hamburg Harburg","Hannoversche Str. 88","500","10"
"2er WG","Hamburg Lokstedt","Gazellenkamp","350","16"
"2er WG","Hamburg St. Georg","Pulverteich 20","550","18"
"4er WG","Hamburg Heimfeld","Haakestrasse 69","400","25"
"4er WG","Hamburg Eilbek","Wandsbeker Chaussee 121b","380","16"
"2er WG","Hamburg Eilbek","Seumestraße 49","550","14"
"3er WG","Hamburg Harvestehude","Schlüterstrasse 77","500","25"
"2er WG","Hamburg Bramfeld","Heidstücken 59","378","10"
"2er WG","Hamburg Lokstedt","Oddernskamp 37","500","22"
"6er WG","Hamburg Marienthal","Wandsbeker Bahnhofstraße 5","320","22"
"3er WG","Hamburg Barmbek-Nord","Habichtstraße 110","325","16"
"3er WG","Hamburg Altona-Nord","Stresemannstraße 132","480","15"
"4er WG","Hamburg Altona-Altstadt","Thadenstraße 146","497","11"
"2er WG","Hamburg Dulsberg","S-Bahn-Haltestelle Friedr...","370","12"
"3er WG","Hamburg Hausbruch","Moorstück 1","450","20"
"3er WG","Hamburg Sternschanze","Stresemannstraße 13","670","11"
"3er WG","Hamburg Harburg","Baererstraße 88","460","28"
"2er WG","Hamburg Altona","Bahrenfelder Chaussee 11","585","16"
"3er WG","Hamburg Altona-Nord","Valparaisostraße 17","600","20"
"2er WG","Hamburg Othmarschen","Hölderlinstraße","600","13"
"2er WG","Hamburg Bahrenfeld","Bahrenfelder Chaussee 162","500","16"
"3er WG","Hamburg Neugraben-Fischbek","Gannerbarg 1","490","14"
"3er WG","Hamburg Harburg","Martin-Leuschel-Ring, 10a","400","15"
"3er WG","Hamburg Ottensen","Hohenzollernring 31","420","9"
"3er WG","Hamburg Bergedorf","Wentorfer Straße 92","450","20"
"5er WG","Hamburg Barmbek-Süd","Lohkoppelstrasse","590","20"
"2er WG","Hamburg Barmbek-Nord","Hermann-Kauffmann-Straße","500","20"
"2er WG","Hamburg Bahrenfeld","Celsiusweg 1","550","14"
"2er WG","Hamburg Hamm-Süd","Osterbrook 72","430","15"
"3er WG","Hamburg Altona-Nord","Leverkusenstraße 18","485","16"
"2er WG","Hamburg Horn","Rhiemsweg","450","15"
"3er WG","Hamburg Tonndorf","Küperstieg","380","12"
"3er WG","Hamburg Harburg","Sand 10","380","16"
"3er WG","Hamburg Barmbek-Nord","Elligersweg 1","469","16"
"1-Zimmer-Wohnung","Hamburg St. Georg","67","900","29"
"2er WG","Hamburg Altona-Nord","Eimsbütteler Str. 129","740","30"
"2er WG","Hamburg Billstedt","Seeschwalbentwiete","380","15"
"3er WG","Hamburg Hamburg","Luruper Hauptstrasse, 208","420","15"
"3er WG","Hamburg Bergedorf","Sichter 24","428","10"
"2er WG","Hamburg Wandsbek","Lengergestr 45","450","15"
"2er WG","Hamburg Alsterdorf","Soltstücken","350","14"
"5er WG","Hamburg Rönneburg","Reller 1","340","10"
"2er WG","Hamburg Ottensen","Nöltingstraße","450","15"
"3er WG","Hamburg Harburg","Femerlingstrasse 27a","545","18"
"3er WG","Hamburg St. Georg","Steindamm 00","495","21"
"2er WG","Hamburg Winterhude","Dorotheenstraße","490","18"
"2er WG","Hamburg Dulsberg","Probsteier Straße 29","400","18"
"2er WG","Hamburg Sternschanze","Max-Brauer-Allee","600","18"
"2er WG","Hamburg Altona-Altstadt","Pinnasberg 60","418","16"
"2er WG","Hamburg Marmstorf","Kauershofweg","450","30"
"4er WG","Hamburg Billstedt","Setzergasse 10","440","16"
"3er WG","Hamburg Hamm-Mitte","hamm","570","20"
"3er WG","Hamburg Hamm-Nord","Hammer Steindamm","550","14"
"2er WG","Hamburg Sasel","Waldweg 183a","500","30"
"3er WG","Hamburg Wilhelmsburg","Georg-Wilhelm-Straße","419","17"
"3er WG","Hamburg Altona-Nord","Kieler Straße 100","400","17"
"3er WG","Hamburg Eimsbüttel","Telemannstraße","450","14"
"2er WG","Hamburg Eidelstedt","Möhlenort","450","25"
"2er WG","Hamburg Borgfelde","Hammer Landstrasse,","740","13"
"6er WG","Hamburg Hamburg","Weidenweg 23, 21509 Glinde","400","20"
"6er WG","Hamburg Hamburg","Weidenweg 23, 21509 Glinde","375","18"
"3er WG","Hamburg Hamburg","Glücksburger Straße","640","29"
"2er WG","Hamburg Rothenburgsort","Billwerder Neuer Deich 19","460","14"
"3er WG","Hamburg St. Georg","Steindamm 23","450","15"
"1-Zimmer-Wohnung","Hamburg Eimsbüttel","Wiesenstraße 47","850","76"
"1-Zimmer-Wohnung","Hamburg St. Pauli","TBA","740","28"
"2er WG","Hamburg Eimsbüttel","Gustav-Falke-Straße","480","16"
"2er WG","Hamburg Barmbek-Nord","Steilshooper Straße 143","480","16"
"1-Zimmer-Wohnung","Hamburg St. Pauli","Kastanienallee","850","48"
"2er WG","Hamburg Eimsbüttel","Hartwig-Hesse str., 55c","500","17"
"1-Zimmer-Wohnung","Hamburg Eilbek","Eilbeker Weg 14","875","37"
"3er WG","Hamburg Hamm-Mitte","Bundsensweg 5","390","10"
"2er WG","Hamburg Altona","Grabbestr. 2","500","14"
"2er WG","Hamburg Barmbek-Nord","Oldachstr. 14","400","14"
"1-Zimmer-Wohnung","Hamburg Wandsbek","Wandsbek","550","30"
"2er WG","Hamburg Hamburg","scützenstraSe","400","20"
"5er WG","Hamburg Harburg","Eißendorfer Grenzweg","595","24"
"4er WG","Hamburg St. Pauli","Hein-Hoyer-Str. 5","500","20"
"4er WG","Hamburg Stellingen","Eschenholt 22","485","13"
"2er WG","Hamburg Othmarschen","Bernadottestr. 73","695","34"
"2er WG","Hamburg Ottensen","Ottenser Hauptstraße 63","850","18"
"3er WG","Hamburg Harburg","Eißendorfer Straße 20","340","11"
"3er WG","Hamburg Harburg","Eißendorfer Straße 20","340","11"
"4er WG","Hamburg Allermöhe","Anna-vonGierke-Ring 113","300","12"
"2er WG","Hamburg Horn","Hermanstaal 9","400","28"
"2er WG","Hamburg Rissen","Suurheid 107","550","12"
"2er WG","Hamburg Barmbek-Süd","Humboldtstr. 88","527","14"
"2er WG","Hamburg Eppendorf","Lenhartzstrasse x","960","18"
"2er WG","Hamburg Winterhude","Braamkamp","400","15"
"2er WG","Hamburg Hohenfelde","Lübecker Straße","640","17"
"5er WG","Hamburg Eimsbüttel","Pinguinweg 15","450","10"
"2er WG","Hamburg Barmbek-Süd","Herderstraße","764","19"
"3er WG","Hamburg Eimsbüttel","Pinguinweg 15","500","20"
"3er WG","Hamburg Altona-Nord","Stresemannstrasse 214","550","20"
"4er WG","Hamburg Stellingen","Stellinger Steindamm","299","11"
"4er WG","Hamburg Jenfeld","Spandauer Weg 10 - Zi 1.1","320","10"
"3er WG","Hamburg Jenfeld","Spandauer Weg 8, 3. OG vo...","400","15"
"2er WG","Hamburg St. Pauli","Hein-Köllisch-Platz","450","15"
"2er WG","Hamburg Jenfeld","Spandauer Weg 6 A, 1. OG ...","400","13"
"3er WG","Hamburg Harburg","Harburg","450","24"
"3er WG","Hamburg Harburg","Harburg","320","12"
"1-Zimmer-Wohnung","Hamburg Othmarschen","Behringstraße 140","670","20"
"3er WG","Hamburg Harburg","Martin-Leuschel-Ring 10a","400","18"
"2er WG","Hamburg Lokstedt","Gazellenkamp","350","16"
"2er WG","Hamburg Barmbek-Süd","Sentastraße 32","420","8"
"4er WG","Hamburg Lohbrügge/Reinbek","Husumer Strasse 41","505","16"
"3er WG","Hamburg Bahrenfeld","Schützenstr. 56","460","18"
"4er WG","Hamburg Lohbrügge/Reinbek","Husumer Strasse 41","505","16"
"2er WG","Hamburg Sternschanze","Schanzenstr.","440","16"
"4er WG","Hamburg 21465 Reinbek","Husumer Str. 41","505","20"
"5er WG","Hamburg St. Georg","Hansaplatz 1","650","26"
"3er WG","Hamburg Harvestehude","Hallerstraße","570","19"
"1-Zimmer-Wohnung","Hamburg Hohenfelde","Mühlendamm 66","985","33"
"3er WG","Hamburg Volksdorf","An der Eilshorst 19","647","28"
"2er WG","Hamburg Heimfeld","S-Bahn-Nähe","420","13"
"2er WG","Hamburg Eilbek","Schlegelsweg 8","490","22"
"2er WG","Hamburg St. Georg","Hamburg St. Georg","820","45"
"2er WG","Hamburg Allermöhe","Otto Grot Str.5","370","14"
"1-Zimmer-Wohnung","Hamburg Altona/Ottensen","Max-Brauer-Allee 213","520","24"
"3er WG","Hamburg Hoheluft-Ost","Isestr.","480","13"
"2er WG","Hamburg Altona-Nord","Bahrenfelder Chaussee","595","12"
